,Rock Climbing Gym Name,State,City,Sq Ft,Rope Climbing,Website,Day pass price,Monthly Membership,Gym Rating,Number of Ratings
204,Climb Lawrence,Kansas,Lawrence,NA,Yes,https://www.climblawrence.com/,18,80,5,21
205,Rock Gem Climbing Center,Kentucky,Louisville,NA,Yes,https://rockgemclimbingcenter.com/,16,55,4.7,43
206,LEF Climbing,Kentucky,Lexington,NA,Yes,https://www.lefclimbing.com/,25,75,4.8,217
207,Climb NuLu,Kentucky,Louisville,NA,No,https://www.climbnulu.com/,12,64,4.7,263
208,Vertical eXcape Bowling Green,Kentucky,Bowling Green,NA,Yes,http://www.verticalexcape.com/bowlinggreen/,25,47.5,4.8,108
209,Rocksport,Kentucky,Louisville,10000,Yes,https://www.climbrocksport.org/,20,70,4.6,75
210,CLYM,Kentucky,Somerset,NA,No,http://clymthecumberlands.com/,12,60,5,12
211,L'Escalade Fitness,Kentucky,Lexington,NA,Yes,https://www.lefclimbing.com/,25,75,4.8,16
212,Risen Rock Climbing Gym,Louisiana,Bossier City,10000,Yes,http://www.risenrockclimbing.com/,18,60,4.9,89
213,Southern Stone Indoor Climbing,Louisiana,Lafayette,NA,Yes,https://www.climblaf.com/,16,49,4.8,81
214,UpTown Climbing,Louisiana,Baton Rouge,NA,Yes,https://www.uptownclimbing.com/home-1,16,80,4.9,99
215,318 Climb,Louisiana,Shreveport,NA,Yes,https://www.318climb.com/,16,55,4.6,131
216,New Orleans Boulder Lounge,Louisiana,New Orleans,NA,No,https://www.climbnobl.com/,16,60,4.6,85
217,Evo Rock & Fitness Portland,Maine,Portland,NA,Yes,https://www.evorock.com/portland-me/,NA,NA,4.8,68
218,Salt Pump Climbing Company,Maine,Scarborough,10000,Yes,https://www.saltpumpclimbing.com/,20,75,4.9,81
219,Indoor Ascent,Maine,Dover,9000,Yes,http://www.indoorascent.com/,14,50,4.6,84
220,Maine Bound Adventure Center,Maine,Orono,NA,Yes,https://umaine.edu/mainebound/,NA,NA,4.8,44
221,Earth Treks Columbia,Maryland,Columbia,27000,Yes,https://el-cap.com/earthtreks-columbia/?redirected=1,22,83,4.9,401
222,Earth Treks Rockville,Maryland,Rockville,38000,Yes,https://el-cap.com/earthtreks-rockville/?redirected=1,25,93,4.8,309
223,Earth Treks Timonium,Maryland,Lutherville-Timonium,NA,Yes,https://el-cap.com/earthtreks-timonium/?redirected=1,22,82,4.7,303
224,The Boulder Yard,Maryland,Frederick,NA,No,https://www.theboulderyardmd.com/,20,75,4.7,87
225,Earth Treks Hampden,Maryland,Baltimore,10000,No,https://el-cap.com/earthtreks-hampden/?redirected=1,22,82,4.9,190
226,ClimbZone Laurel,Maryland,Laurel,NA,Yes,https://www.climbzone.us/laurel/,25,NA,4.6,1117
227,Central Rock Gym Cambridge,Massachusetts,Cambridge,6000,No,https://centralrockgym.com/cambridge/,28,109,4.8,57
228,Central Rock Gym Watertown,Massachusetts,Watertown,30000,Yes,http://www.centralrockgym.com/watertown,28,109,4.8,232
229,Central Rock Gym Stoneham,Massachusetts,Stoneham,16000,Yes,https://centralrockgym.com/stoneham/,28,109,4.8,68
230,Central Rock Gym Randolph,Massachusetts,Randolph,18000,Yes,https://centralrockgym.com/randolph/,28,109,4.8,183
231,Central Rock Gym Hadley,Massachusetts,Hadley,24000,Yes,https://centralrockgym.com/hadley/,28,109,4.8,137
232,Central Rock Gym Waltham,Massachusetts,Waltham,4000,No,https://centralrockgym.com/waltham/,28,109,4.9,42
233,The El Dojo,Massachusetts,Northampton,NA,No,http://www.theeldojo.com/,NA,NA,5,3
234,Central Rock Gym Worcester,Massachusetts,Worcester,16000,Yes,https://centralrockgym.com/worcester/,28,109,4.8,216
235,Brooklyn Boulders Somerville,Massachusetts,Somerville,NA,Yes,https://brooklynboulders.com/somerville/,29,135,4.5,622
236,Carabiner's Climbing and Fitness,Massachusetts,New Bedford,36600,Yes,http://carabiners.com/,20,59,4.8,204
